Date_num;Qnt; Dinamic ;Week_day;Week;Month; Temp ; Pressure ; Humidity ;Wind;Marketing;;Y
43687;2553;0,183;6;32;8;20,6;735;70,4;1,625;0;;0
43688;0;-1;7;33;8;20,4;738,8;58;0,875;0;;1973
43689;1973; -     ;1;33;8;22;740;58;1,25;0;;2334
43690;2334;0,183;2;33;8;22,1;740,6;52,4;1,25;0;;1926
43691;1926;-0,1748;3;33;8;23,6;738,3;45,4;1,875;0;;2126
43692;2126;0,1038;4;33;8;24,8;733,6;35,3;3;0;;2217
43693;2217;0,0428;5;33;8;23,9;731,9;49,4;0,875;0;;2746
43694;2746;0,2386;6;33;8;21,1;733,6;79,6;1,25;0;;0
43695;0;-1;7;34;8;19,3;735;71,9;1,125;0;;2085
43696;2085; -     ;1;34;8;21,4;738,8;68;1,625;0;;1929
43697;1929;-0,0748;2;34;8;24,1;740,6;66,6;1,75;0;;2265
43698;2265;0,1742;3;34;8;25,1;739,9;56,6;3,125;0;;2260
43699;2260;-0,0022;4;34;8;25,8;738,8;53,1;2,25;0;;2394
43700;2394;0,0593;5;34;8;26,5;740;51,9;2,25;0;;2502
43701;2502;0,0451;6;34;8;26,4;740,4;52,1;2,5;0;;0
43702;0;-1;7;35;8;25,8;740,9;53,8;2;0;;2362
43703;2362; -     ;1;35;8;23,5;743,1;43,5;3,25;0;;2475
43704;2475;0,0478;2;35;8;21,3;742,1;42;2,125;0;;2285
43705;2285;-0,0768;3;35;8;21,3;741,5;47,4;1,5;0;;2238
43706;2238;-0,0206;4;35;8;16,9;743,6;44,9;3,375;0;;2233
43707;2233;-0,0022;5;35;8;18;742,1;42,4;2,625;0;;2558
43708;2558;0,1455;6;35;8;21;741;44,3;1,571428571;0;;0
43709;0;-1;7;36;9;22,6;738,6;43;1;0;;2215
43710;2215; -     ;1;36;9;22,1;737,6;42;1;0;;2430
43711;2430;0,0971;2;36;9;23,8;737,1;39,1;1,375;0;;1960
43712;1960;-0,1934;3;36;9;24,1;736,1;43,1;1,875;0;;1899
43713;1899;-0,0311;4;36;9;22;736,4;57,5;1,625;0;;2233
43714;2233;0,1759;5;36;9;20;737,5;59,6;2,25;0;;2820
43715;2820;0,2629;6;36;9;20,4;740;50,4;2,375;0;;0
43716;0;-1;7;37;9;20,3;743,9;38,9;3;0;;2192
43717;2192; -     ;1;37;9;18,6;744;39,1;3,125;0;;2709
43718;2709;0,2359;2;37;9;18,6;743,6;38,1;3,375;0;;2185
43719;2185;-0,1934;3;37;9;19,3;745,9;42,8;2,625;0;;1961
43720;1961;-0,1025;4;37;9;19,9;746;38,1;2,25;0;;2452
43721;2452;0,2504;5;37;9;20;744,1;34,1;1,625;0;;2783
43722;2783;0,135;6;37;9;20,9;741,4;35,8;1,75;0;;0
43723;0;-1;7;38;9;16,9;742;47,6;2,375;0;;2568
43724;2568; -     ;1;38;9;17,4;738,3;36;2,875;0;;2662
43725;2662;0,0366;2;38;9;16,9;733,6;60,4;2,125;0;;1994
43726;1994;-0,2509;3;38;9;13,9;732,5;75;3,25;0;;2074
43727;2074;0,0401;4;38;9;11,1;739;59,5;2,375;0;;2216
43728;2216;0,0685;5;38;9;11,3;738,8;55;0,875;0;;3459
43729;3459;0,5609;6;38;9;8,3;738,5;65,8;1,75;0;;0
43730;0;-1;7;39;9;10,6;738,3;61,6;3,75;0;;2636
43731;2636; -     ;1;39;9;10,4;737,9;69,4;2,125;0;;2526
43732;2526;-0,0417;2;39;9;8,3;740,3;58,1;2;0;;2182
43733;2182;-0,1362;3;39;9;9,7;740,3;45,2;2;0;;1707
43734;1707;-0,2177;4;39;9;9,4;739,4;45,8;1,875;0;;2156
43735;2156;0,263;5;39;9;10,1;737,4;80,3;1,125;0;;3097
43736;3097;0,4365;6;39;9;13,9;738,8;67,1;1,25;0;;0
43737;0;-1;7;40;9;14,8;737,8;76,3;2,875;0;;2287
43738;2287; -     ;1;40;9;15,4;735,4;79,5;2,5;0;;2410
43739;2410;0,0538;2;40;10;15,6;732,6;82,6;3,625;0;;2114
43740;2114;-0,1228;3;40;10;14,1;738,3;71,3;1;0;;2018
43741;2018;-0,0454;4;40;10;16;735,8;65,9;2,125;0;;2098
43742;2098;0,0396;5;40;10;17,9;733,9;75,8;2,5;0;;3043
43743;3043;0,4504;6;40;10;18,3;730,5;80,4;2,25;0;;0
43744;0;-1;7;41;10;10,1;729;85,5;2,375;0;;2507
43745;2507; -     ;1;41;10;7,6;736;68;1,875;0;;2682
43746;2682;0,0698;2;41;10;6,1;739,8;78,3;2,125;0;;2434
43747;2434;-0,0925;3;41;10;5,3;744,6;67,1;2,25;0;;2170
43748;2170;-0,1085;4;41;10;10,5;741;66,9;3;0;;2261
43749;2261;0,0419;5;41;10;11,3;738,1;93,1;1,625;0;;3342
43750;3342;0,4781;6;41;10;10;744,3;78,8;1,625;0;;0
43751;0;-1;7;42;10;13,3;744,8;65,6;3,375;0;;2553
43752;2553; -     ;1;42;10;14,1;744,6;68,3;1,25;0;;2536
43753;2536;-0,0067;2;42;10;14;742,6;70,8;0,5;0;;2284
43754;2284;-0,0994;3;42;10;15,6;742,8;69,6;1,375;0;;2133
43755;2133;-0,0661;4;42;10;14,1;742,5;70,9;2,75;0;;2434
43756;2434;0,1411;5;42;10;12,6;740,1;81,9;1,125;0;;3268
43757;3268;0,3426;6;42;10;13,3;741,3;78,9;0,625;0;;0
43758;0;-1;7;43;10;12,7;743,6;80;0,714285714;0;;2528
43759;2528; -     ;1;43;10;13;745;75,3;1,625;0;;2911
43760;2911;0,1515;2;43;10;14;744;69,8;0,375;0;;2318
43761;2318;-0,2037;3;43;10;13,4;743;72,1;0,25;0;;2184
43762;2184;-0,0578;4;43;10;12,4;741,6;76,3;0,75;0;;2403
43763;2403;0,1003;5;43;10;9,5;740,8;93,8;1,875;0;;3614
43764;3614;0,504;6;43;10;10,3;741,5;88,3;1,125;0;;0
43765;0;-1;7;44;10;11,2;741,1;80,6;1,333333333;0;;2550
43766;2550; -     ;1;44;10;9,5;737;88,3;2,375;0;;2798
43767;2798;0,0973;2;44;10;8,6;737;92,9;0,75;0;;2464
43768;2464;-0,1194;3;44;10;5;739,5;71;1,625;0;;2097
43769;2097;-0,1489;4;44;10;-1,3;743,9;61,4;1,25;0;;2380
43770;2380;0,135;5;44;11;-2,8;744,4;61,1;1;0;;3567
43771;3567;0,4987;6;44;11;-0,7;745,4;61;1,714285714;0;;0
43772;0;-1;7;45;11;3;743,1;67,7;3,571428571;0;;2493
43773;2493; -     ;1;45;11;7,4;738,9;64;4,375;0;;2586
43774;2586;0,0373;2;45;11;10,8;736,3;76,1;3,875;0;;2539
43775;2539;-0,0182;3;45;11;13;735,9;92,1;4,125;0;;2102
43776;2102;-0,1721;4;45;11;14,3;736,6;86,1;3,75;0;;2555
43777;2555;0,2155;5;45;11;12,5;739,3;92;2,125;0;;3645
43778;3645;0,4266;6;45;11;10;742,9;93,1;3,75;0;;0
43779;0;-1;7;46;11;7,5;743,1;92,5;4;0;;2699
43780;2699; -     ;1;46;11;6,6;741,6;98,3;3,125;0;;2899
43781;2899;0,0741;2;46;11;7,1;745;99,6;1,875;0;;2300
43782;2300;-0,2066;3;46;11;6,4;745,9;98,8;5,25;0;;2404
43783;2404;0,0452;4;46;11;5,5;743,9;79,3;7;0;;2515
43784;2515;0,0462;5;46;11;5,4;744,5;73,6;6,875;0;;3863
43785;3863;0,536;6;46;11;4,1;746;85,6;4,375;0;;0
43786;0;-1;7;47;11;3,6;746,5;87,8;3,75;0;;2771
43787;2771; -     ;1;47;11;3,4;745,6;93,1;2,75;0;;3076
43788;3076;0,1101;2;47;11;1,1;746,1;100;2,625;0;;2491
43789;2491;-0,1902;3;47;11;0,5;748;95;4,75;0;;2547
43790;2547;0,0225;4;47;11;-6,8;752,4;67,6;7,25;0;;2475
43791;2475;-0,0283;5;47;11;-8,3;752,1;60,9;7,5;0;;3771
43792;3771;0,5236;6;47;11;-6;749,6;54,8;7,25;0;;0
43793;0;-1;7;48;11;-3,6;747;66,1;6,625;0;;2569
43794;2569; -     ;1;48;11;-2,4;743,8;72,1;6,375;0;;3107
43795;3107;0,2094;2;48;11;0,6;739,4;81,8;5,875;0;;2591
43796;2591;-0,1661;3;48;11;2,1;736;93,6;4,75;0;;2265
43797;2265;-0,1258;4;48;11;3;736,1;100;2,5;0;;2464
43798;2464;0,0879;5;48;11;5,4;733,5;97;3,375;0;;3663
43799;3663;0,4866;6;48;11;5,8;730;97,1;2,75;0;;0
43800;0;-1;7;49;12;0,1;737,6;86;2;0;;2661
43801;2661; -     ;1;49;12;-2,8;744,6;91,1;1,375;0;;2937
43802;2937;0,1037;2;49;12;-1,5;736,4;90;4;0;;2382
43803;2382;-0,189;3;49;12;-3,3;743,9;83,3;1,75;0;;2227
43804;2227;-0,0651;4;49;12;-2,5;745,4;88,9;3,75;0;;2662
43805;2662;0,1953;5;49;12;1,3;745;87,6;3,625;0;;3894
43806;3894;0,4628;6;49;12;1,6;740,6;93;2,125;0;;0
43807;0;-1;7;50;12;1,6;737,1;84,5;1;0;;3035
43808;3035; -     ;1;50;12;2;739;88,6;1;0;;2641
43809;2641;-0,1298;2;50;12;1,3;740;100;1;0;;2094
43810;2094;-0,2071;3;50;12;0,5;741,3;100;2;0;;1681
43811;1681;-0,1972;4;50;12;-0,4;740,1;97,3;4,75;0;;2010
43812;2010;0,1957;5;50;12;-1;735,5;94,9;6,5;0;;3559
43813;3559;0,7706;6;50;12;2;734,1;96,6;4,5;0;;0
43814;0;-1;7;51;12;5,4;735,3;96,3;2,75;0;;2258
43815;2258; -     ;1;51;12;4,1;742,5;92,3;3,25;0;;2243
43816;2243;-0,0066;2;51;12;5,5;743,1;98,6;2,125;0;;1256
43817;1256;-0,44;3;51;12;5,9;742,9;94,5;3,125;0;;50
43818;50;-0,9602;4;51;12;5;743,3;98;3,125;0;;95
43819;95;0,9;5;51;12;1,8;744,9;88,5;1;0;;1641
43820;1641;16,2737;6;51;12;0,6;738,3;94,5;2,75;0;;0
43821;0;-1;7;52;12;5,7;733,4;92,7;4,285714286;0;;1462
43822;1462; -     ;1;52;12;5,5;731,1;89,5;4,375;0;;2204
43823;2204;0,5075;2;52;12;3,9;730,9;93,5;5,25;0;;1828
43824;1828;-0,1706;3;52;12;1,4;730,9;97,5;4,625;0;;1774
43825;1774;-0,0295;4;52;12;1,3;730,6;96,4;2;0;;2040
43826;2040;0,1499;5;52;12;3,3;732,1;98,5;1;0;;2700
43827;2700;0,3235;6;52;12;2,6;737,1;90,3;1,25;0;;0
43828;0;-1;7;53;12;0,7;743,2;88,7;2;0;;3710
43829;3710; -     ;1;53;12;-0,6;746,6;92,8;1,5;0;;0
43830;0;-1;2;53;12;-1,1;736,3;90,6;4,625;0;;0
43831;0; -     ;3;1;1;0,9;734,1;94;2,625;0;;0
43832;0; -     ;4;1;1;-1;743,3;81;2,125;0;;2236
43833;2236; -     ;5;1;1;-0,5;741,6;92,9;2,25;0;;3059
43834;3059;0,3681;6;1;1;1,8;736,8;93,1;2,625;0;;0
43835;0;-1;7;2;1;1,3;735,4;96,3;1,375;0;;2670
43836;2670; -     ;1;2;1;0,1;741,5;97,4;2,25;0;;2490
43837;2490;-0,0674;2;2;1;-1,5;741,8;94,6;3,125;0;;2094
43838;2094;-0,159;3;2;1;-2,4;743,4;92,3;3,625;0;;1747
43839;1747;-0,1657;4;2;1;-2,6;742,8;97,3;1,375;0;;1959
43840;1959;0,1214;5;2;1;-0,8;741,8;96,8;1,125;0;;2936
43841;2936;0,4987;6;2;1;2;738,3;99;3,5;0;;0
43842;0;-1;7;3;1;-0,1;740,1;90,3;3,375;0;;2757
