Date;Date_num;Qnt;Dinamic;Week_day;Week;Month; Temp ; Pressure ; Humidity ;Wind;Marketing
10.08.2019;43687;2553;0,18;6;32;8;20,6;735;70,4;1,63;0
11.08.2019;43688;0;-1;7;33;8;20,4;738,8;58;0,88;0
12.08.2019;43689;1973;0;1;33;8;22;740;58;1,25;0
13.08.2019;43690;2334;0,18;2;33;8;22,1;740,6;52,4;1,25;0
14.08.2019;43691;1926;-0,17;3;33;8;23,6;738,3;45,4;1,88;0
15.08.2019;43692;2126;0,1;4;33;8;24,8;733,6;35,3;3;0
16.08.2019;43693;2217;0,04;5;33;8;23,9;731,9;49,4;0,88;0
17.08.2019;43694;2746;0,24;6;33;8;21,1;733,6;79,6;1,25;0
18.08.2019;43695;0;-1;7;34;8;19,3;735;71,9;1,13;0
19.08.2019;43696;2085;0;1;34;8;21,4;738,8;68;1,63;0
20.08.2019;43697;1929;-0,07;2;34;8;24,1;740,6;66,6;1,75;0
21.08.2019;43698;2265;0,17;3;34;8;25,1;739,9;56,6;3,13;0
22.08.2019;43699;2260;0;4;34;8;25,8;738,8;53,1;2,25;0
23.08.2019;43700;2394;0,06;5;34;8;26,5;740;51,9;2,25;0
24.08.2019;43701;2502;0,05;6;34;8;26,4;740,4;52,1;2,5;0
25.08.2019;43702;0;-1;7;35;8;25,8;740,9;53,8;2;0
26.08.2019;43703;2362;0;1;35;8;23,5;743,1;43,5;3,25;0
27.08.2019;43704;2475;0,05;2;35;8;21,3;742,1;42;2,13;0
28.08.2019;43705;2285;-0,08;3;35;8;21,3;741,5;47,4;1,5;0
29.08.2019;43706;2238;-0,02;4;35;8;16,9;743,6;44,9;3,38;0
30.08.2019;43707;2233;0;5;35;8;18;742,1;42,4;2,63;0
31.08.2019;43708;2558;0,15;6;35;8;21;741;44,3;1,57;0
01.09.2019;43709;0;-1;7;36;9;22,6;738,6;43;1;0
02.09.2019;43710;2215;0;1;36;9;22,1;737,6;42;1;0
03.09.2019;43711;2430;0,1;2;36;9;23,8;737,1;39,1;1,38;0
04.09.2019;43712;1960;-0,19;3;36;9;24,1;736,1;43,1;1,88;0
05.09.2019;43713;1899;-0,03;4;36;9;22;736,4;57,5;1,63;0
06.09.2019;43714;2233;0,18;5;36;9;20;737,5;59,6;2,25;0
07.09.2019;43715;2820;0,26;6;36;9;20,4;740;50,4;2,38;0
08.09.2019;43716;0;-1;7;37;9;20,3;743,9;38,9;3;0
09.09.2019;43717;2192;0;1;37;9;18,6;744;39,1;3,13;0
10.09.2019;43718;2709;0,24;2;37;9;18,6;743,6;38,1;3,38;0
11.09.2019;43719;2185;-0,19;3;37;9;19,3;745,9;42,8;2,63;0
12.09.2019;43720;1961;-0,1;4;37;9;19,9;746;38,1;2,25;0
13.09.2019;43721;2452;0,25;5;37;9;20;744,1;34,1;1,63;0
14.09.2019;43722;2783;0,13;6;37;9;20,9;741,4;35,8;1,75;0
