Date;Date_num;Qnt;Dinamic;Week_day;Week;Month; Temp ; Pressure ; Humidity ;Wind;Marketing;Y
10.08.2019;43687;2553;0,18;6;32;8; 20,6   ; 735,0   ; 70,4   ;1,63;0;0
11.08.2019;43688;0;-1,00;7;33;8; 20,4   ; 738,8   ; 58,0   ;0,88;0;1973
12.08.2019;43689;1973;0,00;1;33;8; 22,0   ; 740,0   ; 58,0   ;1,25;0;2334
13.08.2019;43690;2334;0,18;2;33;8; 22,1   ; 740,6   ; 52,4   ;1,25;0;1926
14.08.2019;43691;1926;-0,17;3;33;8; 23,6   ; 738,3   ; 45,4   ;1,88;0;2126
15.08.2019;43692;2126;0,10;4;33;8; 24,8   ; 733,6   ; 35,3   ;3,00;0;2217
16.08.2019;43693;2217;0,04;5;33;8; 23,9   ; 731,9   ; 49,4   ;0,88;0;2746
17.08.2019;43694;2746;0,24;6;33;8; 21,1   ; 733,6   ; 79,6   ;1,25;0;0
18.08.2019;43695;0;-1,00;7;34;8; 19,3   ; 735,0   ; 71,9   ;1,13;0;2085
19.08.2019;43696;2085;0,00;1;34;8; 21,4   ; 738,8   ; 68,0   ;1,63;0;1929
20.08.2019;43697;1929;-0,07;2;34;8; 24,1   ; 740,6   ; 66,6   ;1,75;0;2265
21.08.2019;43698;2265;0,17;3;34;8; 25,1   ; 739,9   ; 56,6   ;3,13;0;2260
22.08.2019;43699;2260;0,00;4;34;8; 25,8   ; 738,8   ; 53,1   ;2,25;0;2394
23.08.2019;43700;2394;0,06;5;34;8; 26,5   ; 740,0   ; 51,9   ;2,25;0;2502
24.08.2019;43701;2502;0,05;6;34;8; 26,4   ; 740,4   ; 52,1   ;2,50;0;0
25.08.2019;43702;0;-1,00;7;35;8; 25,8   ; 740,9   ; 53,8   ;2,00;0;2362
26.08.2019;43703;2362;0,00;1;35;8; 23,5   ; 743,1   ; 43,5   ;3,25;0;2475
27.08.2019;43704;2475;0,05;2;35;8; 21,3   ; 742,1   ; 42,0   ;2,13;0;2285
28.08.2019;43705;2285;-0,08;3;35;8; 21,3   ; 741,5   ; 47,4   ;1,50;0;2238
29.08.2019;43706;2238;-0,02;4;35;8; 16,9   ; 743,6   ; 44,9   ;3,38;0;2233
30.08.2019;43707;2233;0,00;5;35;8; 18,0   ; 742,1   ; 42,4   ;2,63;0;2558
31.08.2019;43708;2558;0,15;6;35;8; 21,0   ; 741,0   ; 44,3   ;1,57;0;0
01.09.2019;43709;0;-1,00;7;36;9; 22,6   ; 738,6   ; 43,0   ;1,00;0;2215
02.09.2019;43710;2215;0,00;1;36;9; 22,1   ; 737,6   ; 42,0   ;1,00;0;2430
03.09.2019;43711;2430;0,10;2;36;9; 23,8   ; 737,1   ; 39,1   ;1,38;0;1960
04.09.2019;43712;1960;-0,19;3;36;9; 24,1   ; 736,1   ; 43,1   ;1,88;0;1899
05.09.2019;43713;1899;-0,03;4;36;9; 22,0   ; 736,4   ; 57,5   ;1,63;0;2233
06.09.2019;43714;2233;0,18;5;36;9; 20,0   ; 737,5   ; 59,6   ;2,25;0;2820
07.09.2019;43715;2820;0,26;6;36;9; 20,4   ; 740,0   ; 50,4   ;2,38;0;0
08.09.2019;43716;0;-1,00;7;37;9; 20,3   ; 743,9   ; 38,9   ;3,00;0;2192
09.09.2019;43717;2192;0,00;1;37;9; 18,6   ; 744,0   ; 39,1   ;3,13;0;2709
10.09.2019;43718;2709;0,24;2;37;9; 18,6   ; 743,6   ; 38,1   ;3,38;0;2185
11.09.2019;43719;2185;-0,19;3;37;9; 19,3   ; 745,9   ; 42,8   ;2,63;0;1961
12.09.2019;43720;1961;-0,10;4;37;9; 19,9   ; 746,0   ; 38,1   ;2,25;0;2452
13.09.2019;43721;2452;0,25;5;37;9; 20,0   ; 744,1   ; 34,1   ;1,63;0;2783
14.09.2019;43722;2783;0,13;6;37;9; 20,9   ; 741,4   ; 35,8   ;1,75;0;0
15.09.2019;43723;0;-1,00;7;38;9; 16,9   ; 742,0   ; 47,6   ;2,38;0;2568
16.09.2019;43724;2568;0,00;1;38;9; 17,4   ; 738,3   ; 36,0   ;2,88;0;2662
17.09.2019;43725;2662;0,04;2;38;9; 16,9   ; 733,6   ; 60,4   ;2,13;0;1994
18.09.2019;43726;1994;-0,25;3;38;9; 13,9   ; 732,5   ; 75,0   ;3,25;0;2074
19.09.2019;43727;2074;0,04;4;38;9; 11,1   ; 739,0   ; 59,5   ;2,38;0;2216
20.09.2019;43728;2216;0,07;5;38;9; 11,3   ; 738,8   ; 55,0   ;0,88;0;3459
21.09.2019;43729;3459;0,56;6;38;9; 8,3   ; 738,5   ; 65,8   ;1,75;0;0
22.09.2019;43730;0;-1,00;7;39;9; 10,6   ; 738,3   ; 61,6   ;3,75;0;2636
23.09.2019;43731;2636;0,00;1;39;9; 10,4   ; 737,9   ; 69,4   ;2,13;0;2526
24.09.2019;43732;2526;-0,04;2;39;9; 8,3   ; 740,3   ; 58,1   ;2,00;0;2182
25.09.2019;43733;2182;-0,14;3;39;9; 9,7   ; 740,3   ; 45,2   ;2,00;0;1707
26.09.2019;43734;1707;-0,22;4;39;9; 9,4   ; 739,4   ; 45,8   ;1,88;0;2156
27.09.2019;43735;2156;0,26;5;39;9; 10,1   ; 737,4   ; 80,3   ;1,13;0;3097
28.09.2019;43736;3097;0,44;6;39;9; 13,9   ; 738,8   ; 67,1   ;1,25;0;0
29.09.2019;43737;0;-1,00;7;40;9; 14,8   ; 737,8   ; 76,3   ;2,88;0;2287
30.09.2019;43738;2287;0,00;1;40;9; 15,4   ; 735,4   ; 79,5   ;2,50;0;2410
01.10.2019;43739;2410;0,05;2;40;10; 15,6   ; 732,6   ; 82,6   ;3,63;0;2114
02.10.2019;43740;2114;-0,12;3;40;10; 14,1   ; 738,3   ; 71,3   ;1,00;0;2018
03.10.2019;43741;2018;-0,05;4;40;10; 16,0   ; 735,8   ; 65,9   ;2,13;0;2098
04.10.2019;43742;2098;0,04;5;40;10; 17,9   ; 733,9   ; 75,8   ;2,50;0;3043
05.10.2019;43743;3043;0,45;6;40;10; 18,3   ; 730,5   ; 80,4   ;2,25;0;0
06.10.2019;43744;0;-1,00;7;41;10; 10,1   ; 729,0   ; 85,5   ;2,38;0;2507
07.10.2019;43745;2507;0,00;1;41;10; 7,6   ; 736,0   ; 68,0   ;1,88;0;2682
08.10.2019;43746;2682;0,07;2;41;10; 6,1   ; 739,8   ; 78,3   ;2,13;0;2434
09.10.2019;43747;2434;-0,09;3;41;10; 5,3   ; 744,6   ; 67,1   ;2,25;0;2170
10.10.2019;43748;2170;-0,11;4;41;10; 10,5   ; 741,0   ; 66,9   ;3,00;0;2261
11.10.2019;43749;2261;0,04;5;41;10; 11,3   ; 738,1   ; 93,1   ;1,63;0;3342
12.10.2019;43750;3342;0,48;6;41;10; 10,0   ; 744,3   ; 78,8   ;1,63;0;0
13.10.2019;43751;0;-1,00;7;42;10; 13,3   ; 744,8   ; 65,6   ;3,38;0;2553
14.10.2019;43752;2553;0,00;1;42;10; 14,1   ; 744,6   ; 68,3   ;1,25;0;2536
15.10.2019;43753;2536;-0,01;2;42;10; 14,0   ; 742,6   ; 70,8   ;0,50;0;2284
16.10.2019;43754;2284;-0,10;3;42;10; 15,6   ; 742,8   ; 69,6   ;1,38;0;2133
17.10.2019;43755;2133;-0,07;4;42;10; 14,1   ; 742,5   ; 70,9   ;2,75;0;2434
18.10.2019;43756;2434;0,14;5;42;10; 12,6   ; 740,1   ; 81,9   ;1,13;0;3268
19.10.2019;43757;3268;0,34;6;42;10; 13,3   ; 741,3   ; 78,9   ;0,63;0;0
20.10.2019;43758;0;-1,00;7;43;10; 12,7   ; 743,6   ; 80,0   ;0,71;0;2528
21.10.2019;43759;2528;0,00;1;43;10; 13,0   ; 745,0   ; 75,3   ;1,63;0;2911
22.10.2019;43760;2911;0,15;2;43;10; 14,0   ; 744,0   ; 69,8   ;0,38;0;2318
23.10.2019;43761;2318;-0,20;3;43;10; 13,4   ; 743,0   ; 72,1   ;0,25;0;2184
24.10.2019;43762;2184;-0,06;4;43;10; 12,4   ; 741,6   ; 76,3   ;0,75;0;2403
25.10.2019;43763;2403;0,10;5;43;10; 9,5   ; 740,8   ; 93,8   ;1,88;0;3614
26.10.2019;43764;3614;0,50;6;43;10; 10,3   ; 741,5   ; 88,3   ;1,13;0;0
27.10.2019;43765;0;-1,00;7;44;10; 11,2   ; 741,1   ; 80,6   ;1,33;0;2550
28.10.2019;43766;2550;0,00;1;44;10; 9,5   ; 737,0   ; 88,3   ;2,38;0;2798
29.10.2019;43767;2798;0,10;2;44;10; 8,6   ; 737,0   ; 92,9   ;0,75;0;2464
30.10.2019;43768;2464;-0,12;3;44;10; 5,0   ; 739,5   ; 71,0   ;1,63;0;2097
31.10.2019;43769;2097;-0,15;4;44;10;-1,3   ; 743,9   ; 61,4   ;1,25;0;2380
01.11.2019;43770;2380;0,13;5;44;11;-2,8   ; 744,4   ; 61,1   ;1,00;0;3567
02.11.2019;43771;3567;0,50;6;44;11;-0,7   ; 745,4   ; 61,0   ;1,71;0;0
03.11.2019;43772;0;-1,00;7;45;11; 3,0   ; 743,1   ; 67,7   ;3,57;0;2493
04.11.2019;43773;2493;0,00;1;45;11; 7,4   ; 738,9   ; 64,0   ;4,38;0;2586
05.11.2019;43774;2586;0,04;2;45;11; 10,8   ; 736,3   ; 76,1   ;3,88;0;2539
06.11.2019;43775;2539;-0,02;3;45;11; 13,0   ; 735,9   ; 92,1   ;4,13;0;2102
07.11.2019;43776;2102;-0,17;4;45;11; 14,3   ; 736,6   ; 86,1   ;3,75;0;2555
08.11.2019;43777;2555;0,22;5;45;11; 12,5   ; 739,3   ; 92,0   ;2,13;0;3645
09.11.2019;43778;3645;0,43;6;45;11; 10,0   ; 742,9   ; 93,1   ;3,75;0;0
10.11.2019;43779;0;-1,00;7;46;11; 7,5   ; 743,1   ; 92,5   ;4,00;0;2699
11.11.2019;43780;2699;0,00;1;46;11; 6,6   ; 741,6   ; 98,3   ;3,13;0;2899
12.11.2019;43781;2899;0,07;2;46;11; 7,1   ; 745,0   ; 99,6   ;1,88;0;2300
13.11.2019;43782;2300;-0,21;3;46;11; 6,4   ; 745,9   ; 98,8   ;5,25;0;2404
14.11.2019;43783;2404;0,05;4;46;11; 5,5   ; 743,9   ; 79,3   ;7,00;0;2515
15.11.2019;43784;2515;0,05;5;46;11; 5,4   ; 744,5   ; 73,6   ;6,88;0;3863
16.11.2019;43785;3863;0,54;6;46;11; 4,1   ; 746,0   ; 85,6   ;4,38;0;0
17.11.2019;43786;0;-1,00;7;47;11; 3,6   ; 746,5   ; 87,8   ;3,75;0;2771
18.11.2019;43787;2771;0,00;1;47;11; 3,4   ; 745,6   ; 93,1   ;2,75;0;3076
19.11.2019;43788;3076;0,11;2;47;11; 1,1   ; 746,1   ; 100,0   ;2,63;0;2491
20.11.2019;43789;2491;-0,19;3;47;11; 0,5   ; 748,0   ; 95,0   ;4,75;0;2547
21.11.2019;43790;2547;0,02;4;47;11;-6,8   ; 752,4   ; 67,6   ;7,25;0;2475
22.11.2019;43791;2475;-0,03;5;47;11;-8,3   ; 752,1   ; 60,9   ;7,50;0;3771
23.11.2019;43792;3771;0,52;6;47;11;-6,0   ; 749,6   ; 54,8   ;7,25;0;0
24.11.2019;43793;0;-1,00;7;48;11;-3,6   ; 747,0   ; 66,1   ;6,63;0;2569
25.11.2019;43794;2569;0,00;1;48;11;-2,4   ; 743,8   ; 72,1   ;6,38;0;3107
26.11.2019;43795;3107;0,21;2;48;11; 0,6   ; 739,4   ; 81,8   ;5,88;0;2591
27.11.2019;43796;2591;-0,17;3;48;11; 2,1   ; 736,0   ; 93,6   ;4,75;0;2265
28.11.2019;43797;2265;-0,13;4;48;11; 3,0   ; 736,1   ; 100,0   ;2,50;0;2464
29.11.2019;43798;2464;0,09;5;48;11; 5,4   ; 733,5   ; 97,0   ;3,38;0;3663
30.11.2019;43799;3663;0,49;6;48;11; 5,8   ; 730,0   ; 97,1   ;2,75;0;0
01.12.2019;43800;0;-1,00;7;49;12; 0,1   ; 737,6   ; 86,0   ;2,00;0;2661
02.12.2019;43801;2661;0,00;1;49;12;-2,8   ; 744,6   ; 91,1   ;1,38;0;2937
03.12.2019;43802;2937;0,10;2;49;12;-1,5   ; 736,4   ; 90,0   ;4,00;0;2382
04.12.2019;43803;2382;-0,19;3;49;12;-3,3   ; 743,9   ; 83,3   ;1,75;0;2227
05.12.2019;43804;2227;-0,07;4;49;12;-2,5   ; 745,4   ; 88,9   ;3,75;0;2662
06.12.2019;43805;2662;0,20;5;49;12; 1,3   ; 745,0   ; 87,6   ;3,63;0;3894
07.12.2019;43806;3894;0,46;6;49;12; 1,6   ; 740,6   ; 93,0   ;2,13;0;0
08.12.2019;43807;0;-1,00;7;50;12; 1,6   ; 737,1   ; 84,5   ;1,00;0;3035
09.12.2019;43808;3035;0,00;1;50;12; 2,0   ; 739,0   ; 88,6   ;1,00;0;2641
10.12.2019;43809;2641;-0,13;2;50;12; 1,3   ; 740,0   ; 100,0   ;1,00;0;2094
11.12.2019;43810;2094;-0,21;3;50;12; 0,5   ; 741,3   ; 100,0   ;2,00;0;1681
12.12.2019;43811;1681;-0,20;4;50;12;-0,4   ; 740,1   ; 97,3   ;4,75;0;2010
13.12.2019;43812;2010;0,20;5;50;12;-1,0   ; 735,5   ; 94,9   ;6,50;0;3559
14.12.2019;43813;3559;0,77;6;50;12; 2,0   ; 734,1   ; 96,6   ;4,50;0;0
15.12.2019;43814;0;-1,00;7;51;12; 5,4   ; 735,3   ; 96,3   ;2,75;0;2258
16.12.2019;43815;2258;0,00;1;51;12; 4,1   ; 742,5   ; 92,3   ;3,25;0;2243
17.12.2019;43816;2243;-0,01;2;51;12; 5,5   ; 743,1   ; 98,6   ;2,13;0;1256
18.12.2019;43817;1256;-0,44;3;51;12; 5,9   ; 742,9   ; 94,5   ;3,13;0;50
19.12.2019;43818;50;-0,96;4;51;12; 5,0   ; 743,3   ; 98,0   ;3,13;0;95
20.12.2019;43819;95;0,90;5;51;12; 1,8   ; 744,9   ; 88,5   ;1,00;0;1641
21.12.2019;43820;1641;16,27;6;51;12; 0,6   ; 738,3   ; 94,5   ;2,75;0;0
22.12.2019;43821;0;-1,00;7;52;12; 5,7   ; 733,4   ; 92,7   ;4,29;0;1462
23.12.2019;43822;1462;0,00;1;52;12; 5,5   ; 731,1   ; 89,5   ;4,38;0;2204
24.12.2019;43823;2204;0,51;2;52;12; 3,9   ; 730,9   ; 93,5   ;5,25;0;1828
25.12.2019;43824;1828;-0,17;3;52;12; 1,4   ; 730,9   ; 97,5   ;4,63;0;1774
26.12.2019;43825;1774;-0,03;4;52;12; 1,3   ; 730,6   ; 96,4   ;2,00;0;2040
27.12.2019;43826;2040;0,15;5;52;12; 3,3   ; 732,1   ; 98,5   ;1,00;0;2700
28.12.2019;43827;2700;0,32;6;52;12; 2,6   ; 737,1   ; 90,3   ;1,25;0;0
